iteracao,id_selecionado,tempo_resposta_llm_ms,tempo_iteracao_ms,resposta_llm
1,118,10422,10433,[118]
2,273,14743,14754,[273]
3,299,15216,15227,[299]
4,419,12762,12765,[419]
5,15,22242,22243,[15]
6,291,18034,18038,[291]
7,310,15117,15122,[310]
8,192,17206,17207,[192]
9,126,14552,14553,[126]
10,352,17835,17837,[352]
11,433,72222,72233,[433]
12,356,14941,14943,[356]
13,313,19665,19667,[313]
14,330,16325,16327,[330]
15,278,63087,63089,[278]
16,257,12498,12500,[257]
17,416,20608,20610,[416]
18,221,17205,17209,[221]
19,104,32535,32537,[104]
20,377,15765,15770,[377]
21,124,58071,58073,[124]
22,277,31006,31008,[277]
23,418,21153,21154,[418]
24,367,13906,13907,[367]
25,72,18591,18595,[72]
26,37,29122,29124,[37]
27,163,16669,16672,[163]
28,194,24883,24885,[194]
29,483,12960,12962,[483]
30,177,54827,54829,[177]
31,136,24107,24110,[136]
32,152,11824,11831,[152]
33,420,53620,53625,[420]
34,424,19200,19204,[424]
35,71,16437,16440,[71]
36,299,17210,17213,[299]
37,345,23941,23945,[345]
38,450,33598,33601,[450]
39,32,16461,16464,[32]
40,369,43218,43224,[369]
41,412,18585,18592,[412]
42,213,37786,37789,[213]
43,158,21113,21115,[158]
44,294,15398,15403,[294]
45,200,39038,39039,[200]
46,329,7919,7922,[329]
47,340,18361,18366,[340]
48,223,21144,21148,[223]
49,220,16706,16710,[220]
50,395,18445,18447,[395]
51,7,14743,14748,[7]
52,463,17110,17115,[463]
53,130,14222,14226,[130]
54,119,17191,17198,[119]
55,82,14187,14192,[82]
56,111,10828,10830,[111]
57,434,15893,15896,[434]
58,249,17361,17363,[249]
59,471,24456,24459,[471]
60,20,12793,12795,[20]
61,405,32837,32844,[405]
62,240,14972,14973,[240]
63,291,17278,17281,[291]
64,124,14769,14771,[124]
65,11,25648,25650,[11]
66,473,13627,13632,[473]
67,7,25153,25158,[7]
68,357,16859,16862,[357]
69,111,7622,7625,[111]
70,321,19198,19203,[321]
71,29,32513,32519,[29]
72,241,75419,75421,[241]
73,247,26132,26135,[247]
74,337,38858,38864,[337]
75,403,17866,17870,[403]
76,260,45853,45860,[260]
77,100,20060,20066,[100]
78,374,15078,15084,[374]
79,17,81777,81779,[17]
80,250,17898,17901,[250]
81,442,12644,12647,[442]
82,281,30511,30514,[281]
83,27,27423,27427,[27]
84,480,29337,29338,[480]
85,131,11461,11461,[131]
86,406,10292,10294,[406]
87,13,35380,35381,[13]
88,465,31645,31647,[465]
89,135,13292,13297,[135]
90,418,16561,16566,[418]
91,299,14135,14139,[299]
92,21,18282,18284,[21]
93,44,42458,42460,[44]
94,280,34827,34830,[280]
95,442,12479,12483,[442]
96,27,15102,15104,[27]
97,139,27659,27661,[139]
98,141,40444,40446,[141]
99,157,29578,29582,[157]
100,246,25428,25436,[246]
101,289,19809,19811,[289]
102,292,15699,15701,[292]
103,89,30415,30417,[89]
104,57,40784,40786,[57]
105,282,16618,16623,[282]
106,39,23348,23352,[39]
107,342,68024,68027,[342]
108,389,26022,26026,[389]
109,21,19804,19806,[21]
110,57,16505,16509,[57]
111,406,15015,15018,[406]
112,178,17359,17361,[178]
113,302,10907,10909,[302]
114,426,15278,15280,[426]
115,281,14089,14092,[281]
116,87,15405,15407,[87]
117,96,12790,12792,[96]
118,391,12391,12396,[391]
119,270,19737,19738,[270]
120,62,24297,24299,[62]
121,35,22847,22849,[35]
122,232,43922,43924,[232]
123,97,14378,14379,[97]
124,272,11424,11425,[272]
125,446,28435,28437,[446]
126,412,18067,18070,[412]
127,101,14612,14615,[101]
128,48,28845,28849,[48]
129,431,10992,10994,[431]
130,151,36537,36540,[151]
131,142,14378,14382,[142]
132,160,31069,31072,[160]
133,391,31287,31289,[391]
134,164,19630,19632,[164]
135,499,31478,31480,[499]
136,417,22450,22452,[417]
137,191,14945,14946,[191]
138,132,12827,12829,[132]
139,55,20827,20830,[55]
140,459,20574,20577,[459]
141,89,15738,15742,[89]
142,136,15209,15213,[136]
143,99,25916,25917,[99]
144,233,22739,22741,[233]
145,319,14747,14753,[319]
146,52,25779,25781,[52]
147,434,19328,19331,[434]
148,11,16185,16187,[11]
149,309,14538,14540,[309]
150,374,27647,27649,[374]
151,47,12231,12234,[47]
152,372,55868,55874,[372]
153,320,29926,29930,[320]
154,171,15614,15616,[171]
155,280,21316,21320,[280]
156,54,16485,16490,[54]
157,435,44304,44306,[435]
158,125,39844,39847,[125]
159,119,37372,37374,[119]
160,50,40733,40734,[50]
