iteracao,id_selecionado,tempo_resposta_llm_ms,tempo_iteracao_ms,resposta_llm
1,310,135044,135048,"[15, 29, 51, 52, 85, 212, 225, 249, 259, 273, 309, 310, 323, 331, 376, 382, 411, 431, 452, 458, 464, 480]"
2,343,153862,153865,"[6, 31, 56, 60, 63, 64, 163, 170, 210, 224, 246, 262, 265, 343, 345, 365, 373, 374]"
3,303,182170,182181,"[9, 465]"
4,198,149987,149990,"[7, 111, 181, 190, 198, 234, 240, 244, 260, 298, 300, 304, 374, 376, 455]"
5,382,136822,136825,"[51, 73, 111, 118, 140, 253, 310, 332, 375, 382, 411, 426, 431]"
6,171,97595,97597,"[36, 64, 66, 73, 74, 80, 107, 116, 135, 140, 166, 171, 285, 297, 348, 362, 399, 464]"
7,83,141257,141263,"[52, 83, 114, 237, 293, 309, 378, 419, 429, 472]"
8,29,119238,119243,"[48, 63, 77, 115, 123, 142, 151, 155, 178, 182, 222, 288, 290, 293, 294, 322, 327, 340, 347, 368, 371, 385, 398, 456, 500]"
9,440,204354,204358,"[125, 186, 214, 244, 301, 314, 321, 345, 386, 387, 392, 440, 443, 469, 494]"
10,105,139159,139162,"[13, 82, 105, 146, 235, 247, 339, 428, 439, 451, 453, 474]"
11,458,267972,267977,"[12, 57, 75, 87, 93, 119, 134, 135, 141, 145, 148, 188, 190, 204, 212, 215, 225, 259, 271, 275, 280, 295, 308, 310, 319, 323, 331, 352, 359, 370, 411, 413, 419, 458, 460, 476, 483]"
12,484,146780,146784,"[4, 17, 22, 29, 59, 63, 142, 145, 180, 224, 245, 253, 262, 268, 273, 303, 322, 334, 343, 370, 403, 410, 446, 484, 496]"
13,262,130239,130245,"[11, 19, 41, 64, 78, 114, 115, 142, 208, 210, 215, 217, 224, 231, 254, 262, 318, 343, 358, 470, 500]"
14,127,168843,168845,"[15, 25, 69, 83, 104, 127, 140, 194, 198, 201, 259, 308, 409, 429, 486, 490]"
15,289,225955,225957,"[27, 64, 91, 131, 206, 289, 438]"
16,374,98256,98259,"[6, 7, 181, 203, 242, 261, 374, 408]"
17,393,148954,148959,"[14, 17, 48, 53, 84, 178, 191, 200, 202, 207, 215, 291, 363, 393, 400, 417, 438, 466, 490, 493]"
18,365,169693,169699,"[4, 19, 30, 37, 63, 101, 112, 125, 142, 169, 178, 182, 207, 222, 272, 276, 299, 326, 327, 343, 365, 368, 398, 427, 443, 445, 478, 484]"
19,143,247300,247306,"[27, 51, 58, 61, 89, 95, 103, 121, 143, 162, 174, 177, 197, 225, 260, 289, 296, 313, 320, 331, 338, 376, 391, 411, 454]"
20,460,93853,93858,"[12, 15, 21, 25, 49, 73, 83, 134, 140, 162, 190, 192, 208, 209, 215, 246, 259, 267, 271, 280, 319, 335, 401, 411, 431, 458, 460, 474, 487]"
21,48,285622,285628,"Alucinou"
22,379,122038,122040,[379]
23,4,87803,87806,"[11, 19, 101, 112, 178, 183, 207, 269, 288, 445]"
24,136,121772,121774,"[8, 30]"
25,67,131498,131500,"[43, 67, 76, 159, 266, 270, 326, 329, 398]"
26,50,166390,166396,"[26, 49, 50, 135, 170, 246, 415, 460, 483]"
27,404,129497,129503,"[9, 35, 48, 54, 94, 108, 151, 160, 178, 214, 238, 287, 307, 317, 404, 406, 445, 491]"
28,20,181951,181956,"[20, 149, 193, 287, 326, 472]"
29,292,164938,164942,"[187, 221, 243, 292, 296]"
30,385,209554,209562,"[6, 16, 57, 64, 130, 135, 136, 165, 187, 212, 244, 263, 269, 294, 340, 358, 363, 366, 369, 373, 378, 385, 392, 401, 435, 448, 461]"
31,159,263689,263696,"[67, 159, 354, 487]"
32,403,121852,121855,"[28, 52, 175, 217, 268, 291, 322, 334, 369, 403, 410]"
33,175,181237,181239,"[40, 53, 75, 159, 166, 175, 193, 230, 233, 282, 284, 285, 291, 304, 318, 343, 361, 369, 403, 487]"
34,216,144257,144260,"[18, 30, 42, 119, 124, 134, 135, 152, 157, 188, 196, 204, 216, 279, 298, 333, 341, 388, 435, 438, 448, 458, 476, 480]"
35,64,222269,222271,"[6, 16, 23, 44, 54, 64, 130, 131, 141, 160, 196, 206, 239, 251, 271, 278, 294, 298, 300, 332, 344, 363, 366, 368, 373, 442, 448, 476, 488, 500]"
36,200,187700,187703,"[125, 205, 220, 287, 389]"
37,483,126964,126969,"[38, 45, 97, 132, 138, 190, 209, 237, 295, 298, 335, 339, 369, 483]"
38,370,178696,178703,"[22, 47, 51, 59, 85, 136, 139, 145, 170, 175, 204, 246, 268, 272, 273, 300, 310, 315, 323, 361, 370, 378, 384, 392, 396, 409, 411, 474, 477, 484]"
39,170,170345,170349,"[85, 116, 139, 141, 157, 170, 210, 245, 267, 323, 352, 370, 385, 413, 458, 490]"
40,473,131516,131518,"[10, 19, 46, 176, 220, 296, 306, 339, 422, 444, 469, 473]"
41,165,146097,146099,"[36, 40, 49, 50, 75, 94, 97, 132, 139, 140, 141, 209, 246, 259, 267, 282, 308, 318, 319, 396, 401, 413, 419, 435, 477, 487]"
42,228,140598,140600,"[15, 28, 33, 53, 66, 100, 138, 176, 228, 237, 259, 266, 271, 348, 354, 374, 421, 436]"
43,306,128116,128117,"[20, 26, 78, 95, 125, 146, 176, 227, 296, 299, 306, 395, 451]"
44,275,92986,92989,"[142, 210, 227, 275, 352]"
45,66,80021,80026,"[12, 53, 68, 150, 164, 183, 187, 194, 340, 361, 385, 436, 448, 479, 482, 497]"
46,353,109439,109447,"[11, 46, 94, 142, 378]"
47,397,182696,182703,"[28, 34, 104, 122, 133, 134, 172, 225, 279, 280, 311, 341, 359, 402, 423, 458]"
48,254,101982,101991,"[158, 173, 200, 243, 278, 307, 379, 383, 405, 412, 498, 500]"
49,207,167737,167739,"[19, 30, 37, 39, 55, 68, 120, 130, 146, 207, 244, 265, 304, 333, 351, 365, 368, 378, 383, 392, 393, 398, 413, 417, 435, 444, 445, 478]"
50,334,204925,204929,"[48, 62, 63, 84, 101, 151, 156, 191, 258, 269, 302, 322, 330, 334, 344, 365, 380, 390, 410, 447]"
51,442,173492,173506,"[15, 44, 64, 66, 71, 88, 138, 143, 166, 190, 192, 198, 209, 212, 234, 261, 263, 271, 332, 335, 338, 345, 362, 411, 442, 455, 460, 468, 483, 488]"
52,42,235546,235553,"[6, 7, 16, 42, 55, 60, 106, 130, 186, 240, 244, 269, 273, 277, 307, 330, 373, 400, 416]"
53,405,124760,124762,"[171, 210, 297, 350, 359, 405]"
54,314,257263,257266,"[5, 9, 10, 12, 44, 47, 59, 89, 104, 107, 136, 162, 182, 197, 230, 267, 268, 270, 285, 293, 304, 312, 314, 320, 335, 352, 368, 386, 418, 438, 444, 457, 460, 465, 474, 487, 494]"
55,472,143149,143153,"[5, 18, 31, 89, 175, 193, 220, 268, 285, 291, 293, 362, 419, 438, 472]"
56,473,271942,271948,"An error occurred. Please try again."
57,294,238956,238958,"[6, 29, 57, 64, 69, 104, 136, 141, 167, 183, 188, 206, 279, 293, 294, 323, 341, 363, 426, 438, 448, 476, 480, 490]"
