iteracao,id_selecionado,tempo_resposta_llm_ms,tempo_iteracao_ms,resposta_llm
81,442,12644,12647,[442]
82,281,30511,30514,[281]
83,27,27423,27427,[27]
84,480,29337,29338,[480]
85,131,11461,11461,[131]
86,406,10292,10294,[406]
87,13,35380,35381,[13]
88,465,31645,31647,[465]
89,135,13292,13297,[135]
90,418,16561,16566,[418]
91,299,14135,14139,[299]
92,21,18282,18284,[21]
93,44,42458,42460,[44]
94,280,34827,34830,[280]
95,442,12479,12483,[442]
96,27,15102,15104,[27]
97,139,27659,27661,[139]
98,141,40444,40446,[141]
99,157,29578,29582,[157]
100,246,25428,25436,[246]
101,289,19809,19811,[289]
102,292,15699,15701,[292]
103,89,30415,30417,[89]
104,57,40784,40786,[57]
105,282,16618,16623,[282]
106,39,23348,23352,[39]
107,342,68024,68027,[342]
108,389,26022,26026,[389]
109,21,19804,19806,[21]
110,57,16505,16509,[57]
111,406,15015,15018,[406]
112,178,17359,17361,[178]
113,302,10907,10909,[302]
114,426,15278,15280,[426]
115,281,14089,14092,[281]
116,87,15405,15407,[87]
117,96,12790,12792,[96]
118,391,12391,12396,[391]
119,270,19737,19738,[270]
120,62,24297,24299,[62]
121,35,22847,22849,[35]
122,232,43922,43924,[232]
123,97,14378,14379,[97]
124,272,11424,11425,[272]
125,446,28435,28437,[446]
126,412,18067,18070,[412]
127,101,14612,14615,[101]
128,48,28845,28849,[48]
129,431,10992,10994,[431]
130,151,36537,36540,[151]
131,142,14378,14382,[142]
132,160,31069,31072,[160]
133,391,31287,31289,[391]
134,164,19630,19632,[164]
135,499,31478,31480,[499]
136,417,22450,22452,[417]
137,191,14945,14946,[191]
138,132,12827,12829,[132]
139,55,20827,20830,[55]
140,459,20574,20577,[459]
141,89,15738,15742,[89]
142,136,15209,15213,[136]
143,99,25916,25917,[99]
144,233,22739,22741,[233]
145,319,14747,14753,[319]
146,52,25779,25781,[52]
147,434,19328,19331,[434]
148,11,16185,16187,[11]
149,309,14538,14540,[309]
150,374,27647,27649,[374]
151,47,12231,12234,[47]
152,372,55868,55874,[372]
153,320,29926,29930,[320]
154,171,15614,15616,[171]
155,280,21316,21320,[280]
156,54,16485,16490,[54]
157,435,44304,44306,[435]
158,125,39844,39847,[125]
159,119,37372,37374,[119]
160,50,40733,40734,[50]
