iteracao,id_selecionado,tempo_resposta_llm_ms,tempo_iteracao_ms,resposta_llm
1,118,10422,10433,[118]
2,273,14743,14754,[273]
3,299,15216,15227,[299]
4,419,12762,12765,[419]
5,15,22242,22243,[15]
6,291,18034,18038,[291]
7,310,15117,15122,[310]
8,192,17206,17207,[192]
9,126,14552,14553,[126]
10,352,17835,17837,[352]
11,433,72222,72233,[433]
12,356,14941,14943,[356]
13,313,19665,19667,[313]
14,330,16325,16327,[330]
15,278,63087,63089,[278]
16,257,12498,12500,[257]
17,416,20608,20610,[416]
18,221,17205,17209,[221]
19,104,32535,32537,[104]
20,377,15765,15770,[377]
21,124,58071,58073,[124]
22,277,31006,31008,[277]
23,418,21153,21154,[418]
24,367,13906,13907,[367]
25,72,18591,18595,[72]
26,37,29122,29124,[37]
27,163,16669,16672,[163]
28,194,24883,24885,[194]
29,483,12960,12962,[483]
30,177,54827,54829,[177]
31,136,24107,24110,[136]
32,152,11824,11831,[152]
33,420,53620,53625,[420]
34,424,19200,19204,[424]
35,71,16437,16440,[71]
36,299,17210,17213,[299]
37,345,23941,23945,[345]
38,450,33598,33601,[450]
39,32,16461,16464,[32]
40,369,43218,43224,[369]
41,412,18585,18592,[412]
42,213,37786,37789,[213]
43,158,21113,21115,[158]
44,294,15398,15403,[294]
45,200,39038,39039,[200]
46,329,7919,7922,[329]
47,340,18361,18366,[340]
48,223,21144,21148,[223]
49,220,16706,16710,[220]
50,395,18445,18447,[395]
51,7,14743,14748,[7]
52,463,17110,17115,[463]
53,130,14222,14226,[130]
54,119,17191,17198,[119]
55,82,14187,14192,[82]
56,111,10828,10830,[111]
57,434,15893,15896,[434]
58,249,17361,17363,[249]
59,471,24456,24459,[471]
60,20,12793,12795,[20]
61,405,32837,32844,[405]
62,240,14972,14973,[240]
63,291,17278,17281,[291]
64,124,14769,14771,[124]
65,11,25648,25650,[11]
66,473,13627,13632,[473]
67,7,25153,25158,[7]
68,357,16859,16862,[357]
69,111,7622,7625,[111]
70,321,19198,19203,[321]
71,29,32513,32519,[29]
72,241,75419,75421,[241]
73,247,26132,26135,[247]
74,337,38858,38864,[337]
75,403,17866,17870,[403]
76,260,45853,45860,[260]
77,100,20060,20066,[100]
78,374,15078,15084,[374]
79,17,81777,81779,[17]
80,250,17898,17901,[250]
