iteracao,id_selecionado,tempo_resposta_llm_ms,tempo_iteracao_ms,resposta_llm
1,89,15738,15742,[89]
2,136,15209,15213,[136]
3,99,25916,25917,[99]
4,233,22739,22741,[233]
5,319,14747,14753,[319]
6,52,25779,25781,[52]
7,434,19328,19331,[434]
8,11,16185,16187,[11]
9,309,14538,14540,[309]
10,374,27647,27649,[374]
11,47,12231,12234,[47]
12,372,55868,55874,[372]
13,320,29926,29930,[320]
14,171,15614,15616,[171]
15,280,21316,21320,[280]
16,54,16485,16490,[54]
17,435,44304,44306,[435]
18,125,39844,39847,[125]
19,119,37372,37374,[119]
20,50,40733,40734,[50]
