iteracao,id_selecionado,tempo_resposta_llm_ms,tempo_iteracao_ms,resposta_llm
1,127,168843,168845,"[15, 25, 69, 83, 104, 127, 140, 194, 198, 201, 259, 308, 409, 429, 486, 490]"
2,289,225955,225957,"[27, 64, 91, 131, 206, 289, 438]"
3,374,98256,98259,"[6, 7, 181, 203, 242, 261, 374, 408]"
4,393,148954,148959,"[14, 17, 48, 53, 84, 178, 191, 200, 202, 207, 215, 291, 363, 393, 400, 417, 438, 466, 490, 493]"
5,365,169693,169699,"[4, 19, 30, 37, 63, 101, 112, 125, 142, 169, 178, 182, 207, 222, 272, 276, 299, 326, 327, 343, 365, 368, 398, 427, 443, 445, 478, 484]"
6,143,247300,247306,"[27, 51, 58, 61, 89, 95, 103, 121, 143, 162, 174, 177, 197, 225, 260, 289, 296, 313, 320, 331, 338, 376, 391, 411, 454]"
7,460,93853,93858,"[12, 15, 21, 25, 49, 73, 83, 134, 140, 162, 190, 192, 208, 209, 215, 246, 259, 267, 271, 280, 319, 335, 401, 411, 431, 458, 460, 474, 487]"
8,48,285622,285628,"Alucinou"
9,379,122038,122040,[379]
10,4,87803,87806,"[11, 19, 101, 112, 178, 183, 207, 269, 288, 445]"
11,136,121772,121774,"[8, 30]"
12,67,131498,131500,"[43, 67, 76, 159, 266, 270, 326, 329, 398]"
13,50,166390,166396,"[26, 49, 50, 135, 170, 246, 415, 460, 483]"
14,404,129497,129503,"[9, 35, 48, 54, 94, 108, 151, 160, 178, 214, 238, 287, 307, 317, 404, 406, 445, 491]"
15,20,181951,181956,"[20, 149, 193, 287, 326, 472]"
16,292,164938,164942,"[187, 221, 243, 292, 296]"
17,385,209554,209562,"[6, 16, 57, 64, 130, 135, 136, 165, 187, 212, 244, 263, 269, 294, 340, 358, 363, 366, 369, 373, 378, 385, 392, 401, 435, 448, 461]"
18,159,263689,263696,"[67, 159, 354, 487]"
19,403,121852,121855,"[28, 52, 175, 217, 268, 291, 322, 334, 369, 403, 410]"
20,175,181237,181239,"[40, 53, 75, 159, 166, 175, 193, 230, 233, 282, 284, 285, 291, 304, 318, 343, 361, 369, 403, 487]"
